,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__alpha,param_model__regressor__l1_ratio,param_scaler__quantile_range
86,"{'f_select__percentile': 2.6219718466534703, 'model__regressor__alpha': 0.20980374002450553, 'model__regressor__l1_ratio': 0.7927136628191414, 'scaler__quantile_range': (10, 90)}",2.9864138089586048,1.2579766844392755,0.12534470856189728,0.029070903922314973,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,2.6219718466534703,0.20980374002450553,0.7927136628191414,"(10, 90)"
87,"{'f_select__percentile': 25.966110602088854, 'model__regressor__alpha': 0.8369904078717387, 'model__regressor__l1_ratio': 0.2438842928068159, 'scaler__quantile_range': (5, 95)}",4.0020294729154555,1.7284686635828517,0.15796515247784554,0.10075974238789583,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,25.966110602088854,0.8369904078717387,0.2438842928068159,"(5, 95)"
88,"{'f_select__percentile': 16.73106110772776, 'model__regressor__alpha': 1.062222882854847, 'model__regressor__l1_ratio': 0.40049542308104646, 'scaler__quantile_range': (10, 90)}",6.586410657130182,8.407573472796965,0.17082974445074797,0.05155183746170416,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,16.73106110772776,1.062222882854847,0.40049542308104646,"(10, 90)"
89,"{'f_select__percentile': 92.47006001678744, 'model__regressor__alpha': 0.881610992535251, 'model__regressor__l1_ratio': 0.5630422265474162, 'scaler__quantile_range': (5, 95)}",4.267372201569378,2.169829099019864,0.42785684107802807,0.5094387665751099,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,92.47006001678744,0.881610992535251,0.5630422265474162,"(5, 95)"
90,"{'f_select__percentile': 75.43112893423337, 'model__regressor__alpha': 5.57843231645513, 'model__regressor__l1_ratio': 0.20184530348689955, 'scaler__quantile_range': (5, 95)}",3.372431153804064,1.562926057178372,0.1358080055564642,0.03445896916711631,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,75.43112893423337,5.57843231645513,0.20184530348689955,"(5, 95)"
91,"{'f_select__percentile': 96.284830834302, 'model__regressor__alpha': 0.3935350956129811, 'model__regressor__l1_ratio': 0.48308227737931086, 'scaler__quantile_range': (10, 90)}",5.709793176688254,4.46965903712554,0.16235109004192055,0.03395984660691992,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,96.284830834302,0.3935350956129811,0.48308227737931086,"(10, 90)"
92,"{'f_select__percentile': 69.62058994128095, 'model__regressor__alpha': 0.6704022408973547, 'model__regressor__l1_ratio': 0.38969441422631945, 'scaler__quantile_range': (10, 90)}",5.700037925504148,1.5211755158991436,0.8754940893501043,0.9130589335177983,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,69.62058994128095,0.6704022408973547,0.38969441422631945,"(10, 90)"
93,"{'f_select__percentile': 70.40079739785459, 'model__regressor__alpha': 0.45054594219570576, 'model__regressor__l1_ratio': 0.8229420140321596, 'scaler__quantile_range': (10, 90)}",4.1522347336635,1.6278587634414357,0.2797556443139911,0.2680398183710874,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,70.40079739785459,0.45054594219570576,0.8229420140321596,"(10, 90)"
94,"{'f_select__percentile': 26.864789396010014, 'model__regressor__alpha': 0.08737925646895532, 'model__regressor__l1_ratio': 0.5023693010472097, 'scaler__quantile_range': (5, 95)}",3.088459875807166,1.9020429007106538,0.12079705279320478,0.0258722322018076,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,26.864789396010014,0.08737925646895532,0.5023693010472097,"(5, 95)"
95,"{'f_select__percentile': 20.050319515303137, 'model__regressor__alpha': 2.1029176224060917, 'model__regressor__l1_ratio': 0.4439100277227206, 'scaler__quantile_range': (5, 95)}",3.3371031113900242,1.8104004692325468,0.1789941256865859,0.09061228272332546,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,20.050319515303137,2.1029176224060917,0.4439100277227206,"(5, 95)"
96,"{'f_select__percentile': 86.28265503124297, 'model__regressor__alpha': 1.004442851000984, 'model__regressor__l1_ratio': 0.25459603834880906, 'scaler__quantile_range': (10, 90)}",4.223544535785914,1.41287708716708,0.1813595561310649,0.0417439313102973,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,86.28265503124297,1.004442851000984,0.25459603834880906,"(10, 90)"
97,"{'f_select__percentile': 21.98938390706352, 'model__regressor__alpha': 6.88008860946118, 'model__regressor__l1_ratio': 0.23062749647712588, 'scaler__quantile_range': (0.5, 99.5)}",3.5211739860475064,0.7872336583946078,0.2558872848749161,0.19452177043977775,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,21.98938390706352,6.88008860946118,0.23062749647712588,"(0.5, 99.5)"
98,"{'f_select__percentile': 91.06577267440463, 'model__regressor__alpha': 0.9625134060744649, 'model__regressor__l1_ratio': 0.6222581847276301, 'scaler__quantile_range': (1, 99)}",4.940368842706084,2.100127103304421,0.7196506446227431,1.1176404908847244,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,91.06577267440463,0.9625134060744649,0.6222581847276301,"(1, 99)"
