,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__alpha,param_model__regressor__l1_ratio,param_scaler__quantile_range
173,"{'f_select__percentile': 44.98581279333024, 'model__regressor__alpha': 1.5404114954056363, 'model__regressor__l1_ratio': 0.6261440338750668, 'scaler__quantile_range': (1, 99)}",6.619743442116305,4.266488845083777,0.18628141614608468,0.03389373723512148,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,0.0,62,44.98581279333024,1.5404114954056363,0.6261440338750668,"(1, 99)"
174,"{'f_select__percentile': 96.09316582349211, 'model__regressor__alpha': 0.6516824510769449, 'model__regressor__l1_ratio': 0.6362609405820796, 'scaler__quantile_range': (10, 90)}",6.546706272987649,2.1987194626096542,0.6613981057424099,0.8514743669672566,-0.21699746736774228,-0.21702469486520057,-0.2173356424497713,-0.2170883388030014,-0.21697280748901882,-0.21708379019494686,0.0001316900129887712,40,96.09316582349211,0.6516824510769449,0.6362609405820796,"(10, 90)"
175,"{'f_select__percentile': 11.813513307773938, 'model__regressor__alpha': 4.348092505780262, 'model__regressor__l1_ratio': 0.3903776926230661, 'scaler__quantile_range': (1, 99)}",5.604783453606069,3.9255706670773867,0.2795916302129626,0.24850756888126996,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,0.0,62,11.813513307773938,4.348092505780262,0.3903776926230661,"(1, 99)"
176,"{'f_select__percentile': 25.310868998745672, 'model__regressor__alpha': 0.03807600246788409, 'model__regressor__l1_ratio': 0.7760660002495547, 'scaler__quantile_range': (1, 99)}",6.854417212679982,3.898169313845903,0.28428053930401803,0.1798712983534515,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,0.0,62,25.310868998745672,0.03807600246788409,0.7760660002495547,"(1, 99)"
177,"{'f_select__percentile': 40.10950062564823, 'model__regressor__alpha': 1.0182876241713092, 'model__regressor__l1_ratio': 0.693383065636728, 'scaler__quantile_range': (10, 90)}",5.836640888499096,2.8537323869309463,0.5622984202578664,0.739777564022281,-0.21802548630367696,-0.21803097649944403,-0.21794674638802988,-0.21793717678260793,-0.2180306204859198,-0.21799420129193575,4.2804878474694876e-05,58,40.10950062564823,1.0182876241713092,0.693383065636728,"(10, 90)"
178,"{'f_select__percentile': 57.04024936007831, 'model__regressor__alpha': 0.8830963515765728, 'model__regressor__l1_ratio': 0.7304499161415223, 'scaler__quantile_range': (10, 90)}",7.63125615697354,3.4451500038687737,0.8262884613126517,0.9400776232552979,-0.21777071484248722,-0.2178810021324342,-0.2177848071644592,-0.21771744976901464,-0.2177751566756841,-0.21778582611681582,5.306038962808269e-05,53,57.04024936007831,0.8830963515765728,0.7304499161415223,"(10, 90)"
179,"{'f_select__percentile': 95.13662994915445, 'model__regressor__alpha': 12.473220275234981, 'model__regressor__l1_ratio': 0.34781117771061576, 'scaler__quantile_range': (5, 95)}",5.088014799915254,1.7681183392880282,0.38826630818657576,0.32917549552085107,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,0.0,62,95.13662994915445,12.473220275234981,0.34781117771061576,"(5, 95)"
180,"{'f_select__percentile': 66.0572276534537, 'model__regressor__alpha': 1.7931820536621979, 'model__regressor__l1_ratio': 0.8626695182223635, 'scaler__quantile_range': (0.5, 99.5)}",5.675297549366951,2.641322132104467,0.9853498613461852,1.1471794756310425,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,0.0,62,66.0572276534537,1.7931820536621979,0.8626695182223635,"(0.5, 99.5)"
181,"{'f_select__percentile': 83.77866573881143, 'model__regressor__alpha': 0.9253659473894663, 'model__regressor__l1_ratio': 0.5554088132989686, 'scaler__quantile_range': (0.1, 99.9)}",8.341686511598528,4.940950863591125,0.2538467518985271,0.07485640846442096,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,0.0,62,83.77866573881143,0.9253659473894663,0.5554088132989686,"(0.1, 99.9)"
182,"{'f_select__percentile': 75.0978022605411, 'model__regressor__alpha': 4.716165795062219, 'model__regressor__l1_ratio': 0.8326938916101947, 'scaler__quantile_range': (5, 95)}",6.455149369686842,1.4194671101644962,0.21728809140622615,0.05443470859663391,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,0.0,62,75.0978022605411,4.716165795062219,0.8326938916101947,"(5, 95)"
183,"{'f_select__percentile': 65.8492628641788, 'model__regressor__alpha': 0.2552718837005928, 'model__regressor__l1_ratio': 0.7114948509247084, 'scaler__quantile_range': (5, 95)}",6.38648878922686,3.585218430318468,0.17771296738646924,0.03152995026121768,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,0.0,62,65.8492628641788,0.2552718837005928,0.7114948509247084,"(5, 95)"
184,"{'f_select__percentile': 65.76124050384693, 'model__regressor__alpha': 6.46565820037852, 'model__regressor__l1_ratio': 0.8581323112615445, 'scaler__quantile_range': (0.5, 99.5)}",4.393806687369943,1.4575323871016237,0.3729686880484223,0.1634640184861154,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,0.0,62,65.76124050384693,6.46565820037852,0.8581323112615445,"(0.5, 99.5)"
185,"{'f_select__percentile': 53.35329303827508, 'model__regressor__alpha': 0.03598963426091664, 'model__regressor__l1_ratio': 0.024271793228892724, 'scaler__quantile_range': (0.1, 99.9)}",7.675361546268687,4.287491804075483,0.20783458258956672,0.04998808631587,-0.2103870836908778,-0.2110541086889986,-0.21093569025216896,-0.21044262176695894,-0.21033161864353156,-0.21063022460850717,0.00030214725795658465,5,53.35329303827508,0.03598963426091664,0.024271793228892724,"(0.1, 99.9)"
186,"{'f_select__percentile': 15.371492978803714, 'model__regressor__alpha': 3.6449024199351268, 'model__regressor__l1_ratio': 0.09774466993895636, 'scaler__quantile_range': (0.5, 99.5)}",3.3434163888916375,0.9912857938975771,0.22917927969247104,0.0573427164522857,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,0.0,62,15.371492978803714,3.6449024199351268,0.09774466993895636,"(0.5, 99.5)"
187,"{'f_select__percentile': 10.081360356535264, 'model__regressor__alpha': 2.4299252368204334, 'model__regressor__l1_ratio': 0.02001089754716523, 'scaler__quantile_range': (5, 95)}",4.424114724667743,2.5640109341783646,0.49973020534962415,0.4833362052852988,-0.21721127586796063,-0.2172113658386784,-0.21746877118176666,-0.2172418923231201,-0.21717800485755195,-0.21726226201381554,0.00010521429260442533,42,10.081360356535264,2.4299252368204334,0.02001089754716523,"(5, 95)"
188,"{'f_select__percentile': 69.40844458919875, 'model__regressor__alpha': 0.9533696625617467, 'model__regressor__l1_ratio': 0.4271042945101068, 'scaler__quantile_range': (5, 95)}",5.472533511836081,3.656662770599832,0.5140740521252155,0.46182969435132754,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,0.0,62,69.40844458919875,0.9533696625617467,0.4271042945101068,"(5, 95)"
189,"{'f_select__percentile': 57.9109593614542, 'model__regressor__alpha': 2.858330015743695, 'model__regressor__l1_ratio': 0.8583164030352851, 'scaler__quantile_range': (5, 95)}",4.828055207245052,2.01595119811977,0.5838122574612499,0.7140360470888656,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,0.0,62,57.9109593614542,2.858330015743695,0.8583164030352851,"(5, 95)"
190,"{'f_select__percentile': 96.53109274837858, 'model__regressor__alpha': 1.2676721485945777, 'model__regressor__l1_ratio': 0.003450912648889748, 'scaler__quantile_range': (0.5, 99.5)}",4.113697601482272,0.4769613774046581,0.8679893929511309,0.883269565228566,-0.21621560601695344,-0.21631552913475888,-0.21631601995337515,-0.21620973662586207,-0.216200855678669,-0.2162515494819237,5.2649685584259275e-05,23,96.53109274837858,1.2676721485945777,0.003450912648889748,"(0.5, 99.5)"
191,"{'f_select__percentile': 91.68827546507038, 'model__regressor__alpha': 1.5126976129312761, 'model__regressor__l1_ratio': 0.710151954125349, 'scaler__quantile_range': (0.5, 99.5)}",8.031714625284076,3.7170953116687118,0.28685699626803396,0.029007870292199877,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,0.0,62,91.68827546507038,1.5126976129312761,0.710151954125349,"(0.5, 99.5)"
192,"{'f_select__percentile': 67.82889761964339, 'model__regressor__alpha': 4.522010004365414, 'model__regressor__l1_ratio': 0.4147691073271407, 'scaler__quantile_range': (5, 95)}",5.860053644515574,1.614523294618396,0.26014290265738965,0.06991784900406961,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,0.0,62,67.82889761964339,4.522010004365414,0.4147691073271407,"(5, 95)"
193,"{'f_select__percentile': 7.273701106564035, 'model__regressor__alpha': 3.176249629723949, 'model__regressor__l1_ratio': 0.5274525504962242, 'scaler__quantile_range': (5, 95)}",4.213154253736138,2.2347294066944583,0.22481775898486375,0.0993420257948158,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,0.0,62,7.273701106564035,3.176249629723949,0.5274525504962242,"(5, 95)"
194,"{'f_select__percentile': 24.25319614000403, 'model__regressor__alpha': 0.4036663623543391, 'model__regressor__l1_ratio': 0.5339039043294342, 'scaler__quantile_range': (0.5, 99.5)}",3.098984044417739,0.8377196816336295,0.46887562740594146,0.42087219751866944,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,-0.21803247568558676,0.0,62,24.25319614000403,0.4036663623543391,0.5339039043294342,"(0.5, 99.5)"
195,"{'f_select__percentile': 73.86789798894048, 'model__regressor__alpha': 0.015422781639358816, 'model__regressor__l1_ratio': 0.9397368871007992, 'scaler__quantile_range': (1, 99)}",6.425632388377562,4.465067417673241,0.2487716818228364,0.05794973441383429,-0.21489244704338187,-0.21496948621445933,-0.21516581186690953,-0.21482474193381565,-0.2149713127692298,-0.21496475996555925,0.00011429903904089167,10,73.86789798894048,0.015422781639358816,0.9397368871007992,"(1, 99)"
